month	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
4	-0.021145833	0.022166667	0.358333333	0.914625	2.040395833	4.035375	4.741041667
4	0.0021875	0.054479167	0.40575	0.949875	2.064854167	4.057270833	4.760208333
4	0.045854167	0.0421875	0.3851875	0.914333333	2.009645833	3.996104167	4.698083333
4	0.603854167	0.245708333	0.446791667	0.966291667	2.039854167	4.021791667	4.72625
4	0.947166667	0.435333333	0.445645833	0.959979167	2.008833333	3.981979167	4.684958333
4	0.203916667	0.152354167	0.451645833	0.977791667	2.004791667	3.966583333	4.671
4	0.960833333	0.514979167	0.447729167	0.985604167	2.0123125	3.967020833	4.672291667
4	1.739145833	1.085104167	0.539208333	1.012625	2.033625	3.981	4.689166667
4	1.466020833	1.110458333	0.6553125	1.032083333	2.009708333	3.945166667	4.651375
4	1.444583333	1.151875	0.765020833	1.095291667	2.023583333	3.94875	4.652354167
4	2.292291667	1.7296875	0.887291667	1.142708333	2.021895833	3.929875	4.63425
4	1.844375	1.616479167	1.110583333	1.188729167	2.015625	3.905875	4.608979167
5	1.957020833	1.720520833	1.19625	1.23175	1.998833333	3.878583333	4.581791667
5	1.720208333	1.582270833	1.274520833	1.298583333	2.026270833	3.891729167	4.596375
5	2.768354167	2.356875	1.426979167	1.344625	2.032229167	3.871583333	4.573645833
5	3.437541667	2.870604167	1.725541667	1.4635	2.0898125	3.9165625	4.62075
5	3.467208333	3.093375	2.012333333	1.541708333	2.060916667	3.860354167	4.561208333
5	3.092375	2.802	2.0848125	1.672166667	2.08175	3.860416667	4.562895833
5	5.454395833	4.456875	2.431395833	1.820395833	2.137125	3.883458333	4.580895833
5	4.464916667	4.189625	2.939416667	1.9753125	2.145145833	3.856729167	4.5553125
5	4.349791667	4.183020833	3.1148125	2.141083333	2.133083333	3.8015	4.494791667
5	4.721333333	4.396479167	3.277	2.39625	2.255875	3.879520833	4.5765
5	7.196895833	6.266020833	3.78975	2.554291667	2.290208333	3.855583333	4.546395833
5	6.696625	6.470708333	4.592354167	2.791333333	2.305916667	3.803958333	4.493625
5	5.591583333	5.56	4.641708333	3.130916667	2.386479167	3.810729167	4.497916667
5	4.977625	5.006854167	4.488541667	3.2811875	2.417541667	3.7593125	4.4445625
5	4.643477273	4.624136364	4.273772727	3.398522727	2.514772727	3.760931818	4.441477273
5	5.072270833	4.8489375	4.164916667	3.439541667	2.611229167	3.76675	4.444458333
5	6.297104167	5.703770833	4.320083333	3.489875	2.717416667	3.7885625	4.463104167
5	7.701666667	6.797666667	4.726145833	3.5761875	2.787583333	3.782208333	4.448520833
5	7.809979167	7.197770833	5.24625	3.747583333	2.8484375	3.773416667	4.4333125
5	10.53272917	9.004583333	5.762125	4.022020833	2.950854167	3.8045625	4.458
5	9.786875	9.021666667	6.463395833	4.282375	2.986979167	3.764375	4.410145833
5	10.79566667	9.592395833	6.8224375	4.644854167	3.1013125	3.796875	4.4363125
5	10.40929167	9.483979167	7.1575625	4.936208333	3.193604167	3.794104167	4.4221875
5	12.06791667	10.683125	7.587375	5.214041667	3.311645833	3.804666667	4.422395833
5	12.53666667	11.24604167	8.117208333	5.500354167	3.423625	3.801916667	4.407208333
5	13.43604167	12.02833333	8.65625	5.819666667	3.542229167	3.802979167	4.399208333
5	13.46333333	12.26770833	9.148958333	6.168375	3.669083333	3.806083333	4.388854167
5	12.89791667	12.06229167	9.448125	6.508770833	3.813125	3.820979167	4.392395833
5	13.05979167	12.15	9.626666667	6.80275	3.9640625	3.836208333	4.395270833
5	13.97208333	12.71875	9.887916667	7.062583333	4.123354167	3.852291667	4.396645833
5	15.32270833	14.023125	10.48166667	7.2936875	4.24325	3.829583333	4.3588125
6	15.18416667	14.35916667	10.989375	7.632645833	4.415625	3.863791667	4.3764375
6	15.09625	14.37520833	11.27854167	7.955645833	4.567875	3.8749375	4.370208333
6	15.084375	14.3375	11.54416667	8.293333333	4.7419375	3.904541667	4.381583333
6	14.753125	13.90979167	11.56458333	8.563541667	4.906666667	3.9225	4.379645833
6	13.399375	13.20958333	11.54520833	8.759166667	5.082604167	3.943604167	4.381375
6	15.336875	14.2775	11.57333333	8.910208333	5.264333333	3.9720625	4.389833333
6	14.78875	14.10479167	11.7975	9.058333333	5.437416667	4.008895833	4.409916667
6	12.835625	12.74291667	11.66541667	9.215833333	5.602833333	4.041375	4.4170625
6	13.579375	13.12666667	11.54833333	9.279791667	5.748458333	4.06475	4.418145833
6	13.46708333	13.00395833	11.50958333	9.345	5.907375	4.114916667	4.441625
6	13.69833333	13.27	11.58270833	9.383125	6.032604167	4.134125	4.434666667
6	12.41375	12.443125	11.53395833	9.432708333	6.140895833	4.156895833	4.433375
6	11.745	11.59791667	11.04041667	9.484583333	6.3000625	4.236270833	4.486083333
6	12.291875	12.12375	11.02708333	9.406458333	6.392291667	4.260125	4.485458333
6	11.8775	11.80625	11.00895833	9.402083333	6.487166667	4.299791667	4.4975625
6	12.6775	12.34416667	10.97604167	9.394166667	6.5731875	4.342270833	4.505104167
6	14.153125	13.67291667	11.50395833	9.466875	6.6851875	4.422916667	4.560791667
6	15.275625	14.70083333	12.071875	9.622708333	6.740083333	4.448270833	4.557291667
6	14.81604167	14.51895833	12.50479167	9.884166667	6.8211875	4.497020833	4.579708333
6	15.34854167	14.90479167	12.70833333	10.14729167	6.926479167	4.559958333	4.617291667
6	16.17979167	15.63479167	13.129375	10.37041667	7.04	4.620979167	4.6549375
6	16.873125	16.17979167	13.53041667	10.59125	7.1193125	4.634895833	4.637729167
6	16.95333333	16.27458333	13.81416667	10.83375	7.224354167	4.67025	4.648583333
6	16.145	15.889375	13.971875	11.07416667	7.3551875	4.722958333	4.677833333
6	15.68333333	15.40541667	13.85645833	11.25833333	7.498854167	4.783583333	4.7199375
6	15.80208333	15.33	13.73770833	11.375625	7.652083333	4.854458333	4.772458333
6	16.02125	15.48229167	13.748125	11.43	7.775520833	4.897479167	4.792375
6	17.20708333	16.62333333	14.06145833	11.49833333	7.885479167	4.933770833	4.8029375
6	17.66854167	17.296875	14.729375	11.66541667	7.982645833	4.965791667	4.81125
6	17.42270833	17.03604167	14.87333333	11.93833333	8.112979167	5.033020833	4.8544375
7	16.87770833	16.67041667	14.92416667	12.12916667	8.225208333	5.079541667	4.8809375
7	16.22958333	16.06291667	14.76166667	12.284375	8.361041667	5.1505625	4.929208333
7	15.43208333	15.28625	14.42104167	12.334375	8.485625	5.204645833	4.963375
7	15.22708333	14.99395833	14.12625	12.30729167	8.611875	5.261520833	4.995541667
7	16.98979167	16.020625	14.10583333	12.25729167	8.735625	5.323958333	5.033770833
