Group.1	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
185	18.68	17.91333333	15.61416667	12.558125	8.690208333	5.7115625	5.314104167
186	19.06354167	18.43208333	15.9375	12.74520833	8.815416667	5.742791667	5.332
187	17.866875	17.58625	15.93708333	12.968125	8.964166667	5.801041667	5.375083333
188	18.66229167	17.92729167	15.8475	13.09583333	9.089375	5.825875	5.384583333
189	18.21375	17.73479167	15.92020833	13.205625	9.226875	5.875	5.4184375
190	18.59770833	17.96	15.95645833	13.289375	9.3375	5.899395833	5.4295
191	18.795	18.12125	16.06041667	13.396875	9.470416667	5.9505	5.460979167
192	18.33791667	17.96229167	16.15895833	13.48479167	9.572291667	5.980479167	5.472895833
193	17.10083333	17.15020833	16.0375	13.5725	9.679583333	6.027791667	5.506104167
194	15.81604167	16.01354167	15.61291667	13.63333333	9.822083333	6.108270833	5.5680625
195	16.08104167	15.99354167	15.304375	13.56229167	9.919791667	6.151520833	5.590791667
196	17.65791667	16.758125	15.194375	13.48625	10.01604167	6.2005625	5.624083333
197	18.85770833	17.77	15.49416667	13.43833333	10.07833333	6.235354167	5.6401875
198	19.44166667	18.40479167	15.90708333	13.49604167	10.12166667	6.257895833	5.639979167
199	20.46770833	19.1675	16.34958333	13.70666667	10.244375	6.372041667	5.737145833
200	18.73333333	18.64	16.82854167	13.86645833	10.2775	6.389395833	5.734541667
201	20.13645833	19.60041667	17.31791667	14.105625	10.350625	6.4375	5.761375
202	20.39854167	20.114375	18.038125	14.43208333	10.44291667	6.496354167	5.802604167
203	20.19291667	19.841875	17.99895833	14.74333333	10.56	6.566854167	5.85675
204	18.72833333	18.83916667	17.77375	14.88833333	10.639375	6.5821875	5.854208333
205	18.36958333	18.148125	17.21166667	14.97375	10.80583333	6.678895833	5.935958333
206	18.75	18.44666667	17.16520833	14.92125	10.90583333	6.706833333	5.944895833
207	18.141875	17.9925	17.05208333	14.94458333	11.04583333	6.792645833	6.015229167
208	18.41270833	18.130625	16.92541667	14.869375	11.08916667	6.7903125	5.997895833
209	18.423125	18.11791667	16.88875	14.86395833	11.17541667	6.841645833	6.0295625
210	18.35395833	18.07833333	16.889375	14.88770833	11.27041667	6.915416667	6.087604167
211	18.4325	18.07	16.86166667	14.90625	11.34895833	6.979145833	6.1370625
212	18.27833333	18.09833333	16.909375	14.90416667	11.39770833	7.011791667	6.148583333
213	18.54666667	18.09770833	16.89375	14.97916667	11.515625	7.122270833	6.245895833
214	20.43916667	20.01	17.71875	14.979375	11.52270833	7.117208333	6.2214375
215	18.75083333	18.725	17.7425	15.20229167	11.596875	7.190791667	6.277729167
216	19.29458333	19.049375	17.72333333	15.3225	11.68375	7.267208333	6.340958333
217	19.04791667	18.95041667	17.813125	15.37166667	11.69895833	7.259333333	6.311520833
218	17.969375	17.99291667	17.408125	15.42541667	11.77291667	7.3155	6.355291667
219	17.88	17.83125	17.16229167	15.389375	11.84645833	7.368958333	6.396375
220	17.76041667	17.71083333	17.01645833	15.351875	11.93458333	7.443520833	6.455583333
221	17.51729167	17.573125	16.97395833	15.28916667	11.97229167	7.472833333	6.4729375
222	16.414375	16.489375	16.39041667	15.260625	12.06125	7.561041667	6.545333333
223	16.94916667	16.749375	16.22229167	15.115625	12.099375	7.604916667	6.574145833
224	17.46229167	17.30145833	16.41666667	14.97916667	12.090625	7.608020833	6.563958333
225	17.87229167	17.62020833	16.59625	15.01020833	12.1475	7.693541667	6.638604167
226	17.7675	17.59604167	16.69875	15.06833333	12.183125	7.765145833	6.697875
227	18.09979167	17.84104167	16.798125	15.09354167	12.1925	7.8008125	6.722375
228	18.50708333	18.27416667	17.03354167	15.116875	12.18125	7.806166667	6.713625
229	17.671875	17.6675	16.94916667	15.22666667	12.25083333	7.901541667	6.801854167
230	17.76604167	17.61208333	16.83770833	15.26541667	12.30333333	7.968729167	6.859666667
231	18.12270833	17.99125	16.949375	15.23645833	12.30354167	7.9728125	6.85375
232	16.50854167	16.79333333	16.66229167	15.2625	12.34666667	8.029604167	6.901708333
233	15.83583333	16.08666667	16.178125	15.19375	12.38916667	8.080791667	6.945541667
234	16.45041667	16.31833333	15.95041667	15.08729167	12.451875	8.1580625	7.0170625
235	17.43833333	17.111875	16.135625	14.94875	12.43645833	8.160979167	7.014708333
236	17.37333333	17.226875	16.30666667	14.89583333	12.39083333	8.141270833	6.98075
237	16.52729167	16.59041667	16.22479167	14.98958333	12.48041667	8.269416667	7.108645833
238	17.04916667	16.90875	16.174375	14.95979167	12.48479167	8.30225	7.1344375
239	15.99916667	16.26541667	16.12020833	14.93770833	12.48125	8.326875	7.152520833
240	15.609375	15.86604167	15.838125	14.87208333	12.47	8.345833333	7.1679375
241	16.158125	16.09479167	15.84208333	15.013125	12.69791667	8.5911875	7.407541667
242	16.15615385	16.21153846	15.835	14.89538462	12.66269231	8.586153846	7.391769231
243	16.15615385	16.21153846	15.835	14.89538462	12.66269231	8.586153846	7.391769231
244	18.273	17.584	16.044	14.6395	12.403	8.424	7.22855
245	17.44229167	17.35083333	16.25229167	14.70916667	12.42895833	8.479791667	7.283875
246	16.086875	16.33854167	16.12979167	14.79895833	12.46291667	8.545416667	7.348520833
247	15.57208333	15.89375	15.81875	14.75916667	12.43854167	8.5475	7.347104167
248	13.61645833	14.4	15.31520833	14.68770833	12.45833333	8.58125	7.378416667
249	13.34395833	13.90520833	14.79020833	14.55916667	12.51	8.655	7.451604167
250	13.779375	14.01666667	14.47395833	14.34229167	12.50916667	8.681666667	7.476208333
251	14.45208333	14.45645833	14.42958333	14.16895833	12.50229167	8.714375	7.50975
252	14.77166667	14.76208333	14.525625	14.06520833	12.48708333	8.752708333	7.548104167
253	14.95895833	14.93979167	14.60520833	13.99166667	12.43770833	8.760208333	7.554770833
254	15.093125	15.080625	14.70270833	13.98	12.41625	8.799791667	7.59475
255	15.26833333	15.23916667	14.76083333	13.94645833	12.35625	8.797291667	7.589625
256	13.308125	14.11604167	14.62645833	13.90708333	12.28875	8.777083333	7.570020833
